INFICON IRwin SX
S/N: 92003059
Software version: 3.07.70
Selected gas: CH4
Last calibration Universal (low range): (500ppm  CH4): 18 Jul 22 15:52
Last calibration Universal (high range): (2.2% 100% CH4): 20 Oct 20 15:16
Last calibration Universal CO2: (20.0% CO2): 20 Oct 20 15:15
Last calibration Ex (2.2% CH4): 20 Oct 20 15:14
Last function test Universal (low range) 10 ppm: 20 Oct 20 15:18
Last function test Self Test: 20 Oct 20 15:20
Last function test Ex : 20 Oct 20 15:19
IRwin App version: v4.11

Date,Time,GPS Status,Sat.,Lat,Long,Alt,Mode,CH4,,CO2 %,O2 %,H2S ppm,CO ppm,C2H6-comp %
2022-07-18,16:17:55,GPS FIX3D,5,42.4065151,-83.5561205,290.0,UNIVERSAL,0,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,16:17:56,GPS FIX3D,5,42.4065148,-83.5561205,290.8,UNIVERSAL,0,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,16:17:57,GPS FIX3D,5,42.4065138,-83.5561211,292.1,UNIVERSAL,0,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,16:17:58,GPS FIX3D,5,42.4065128,-83.5561266,291.7,UNIVERSAL,0,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,16:17:59,GPS FIX3D,5,42.4065101,-83.5561378,291.7,UNIVERSAL,0,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,16:18:00,GPS FIX3D,5,42.4065070,-83.5561520,292.4,UNIVERSAL,2,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,16:18:01,GPS FIX3D,5,42.4065075,-83.5561693,292.0,UNIVERSAL,5,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,16:18:02,GPS FIX3D,5,42.4065106,-83.5561843,292.3,UNIVERSAL,5,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,16:18:03,GPS FIX3D,5,42.4065125,-83.5561956,292.0,UNIVERSAL,0,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,16:18:04,GPS FIX3D,5,42.4065111,-83.5562086,292.8,UNIVERSAL,0,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,16:18:05,GPS FIX3D,5,42.4065085,-83.5562148,293.3,UNIVERSAL,0,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,16:18:06,GPS FIX3D,5,42.4065036,-83.5562245,294.0,UNIVERSAL,0,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,16:18:07,GPS FIX3D,5,42.4064995,-83.5562321,293.9,UNIVERSAL,0,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,16:18:08,GPS FIX3D,5,42.4065061,-83.5562383,293.6,UNIVERSAL,0,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,16:18:09,GPS FIX3D,5,42.4065091,-83.5562538,293.9,UNIVERSAL,0,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,16:18:10,GPS FIX3D,5,42.4065111,-83.5562656,293.7,UNIVERSAL,0,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,16:18:11,GPS FIX3D,5,42.4065126,-83.5562761,294.5,UNIVERSAL,2,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,16:18:12,GPS FIX3D,5,42.4065091,-83.5562938,294.0,UNIVERSAL,2,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,16:18:13,GPS FIX3D,5,42.4065081,-83.5563090,293.9,UNIVERSAL,3,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,16:18:14,GPS FIX3D,5,42.4065116,-83.5563301,294.0,UNIVERSAL,3,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,16:18:15,GPS FIX3D,5,42.4065141,-83.5563418,294.0,UNIVERSAL,4,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,16:18:16,GPS FIX3D,5,42.4065133,-83.5563551,293.7,UNIVERSAL,0,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,16:18:17,GPS FIX3D,5,42.4065091,-83.5563770,293.4,UNIVERSAL,0,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,16:18:18,GPS FIX3D,5,42.4065078,-83.5563961,293.0,UNIVERSAL,0,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,16:18:19,GPS FIX3D,5,42.4065051,-83.5564110,294.8,UNIVERSAL,0,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,16:18:20,GPS FIX3D,5,42.4065055,-83.5564311,295.3,UNIVERSAL,4,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,16:18:21,GPS FIX3D,5,42.4065071,-83.5564531,295.6,UNIVERSAL,4,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,16:18:22,GPS FIX3D,5,42.4065065,-83.5564673,298.9,UNIVERSAL,6,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,16:18:23,GPS FIX3D,5,42.4065053,-83.5564866,299.2,UNIVERSAL,2,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,16:18:24,GPS FIX3D,5,42.4065060,-83.5565001,297.9,UNIVERSAL,4,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,16:18:25,GPS FIX3D,5,42.4065035,-83.5565090,297.6,UNIVERSAL,5,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,16:18:26,GPS FIX3D,5,42.4064998,-83.5565178,296.5,UNIVERSAL,5,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,16:18:27,GPS FIX3D,5,42.4064955,-83.5565295,296.6,UNIVERSAL,0,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,16:18:28,GPS FIX3D,5,42.4064918,-83.5565455,297.0,UNIVERSAL,0,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,16:18:29,GPS FIX3D,5,42.4064898,-83.5565668,297.5,UNIVERSAL,0,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,16:18:30,GPS FIX3D,5,42.4064878,-83.5565778,298.1,UNIVERSAL,0,ppm,-.-,-.-,-.-,-.-,-.-
